Date,Symbol,Close,High,Low,Open,Volume
2023/8/12,BTC-USD,29415.96484,29465.11328,29357.58789,29399.78711,6194358008
2023/8/13,BTC-USD,29282.91406,29441.43359,29265.80664,29416.59375,7329897180
2023/8/14,BTC-USD,29408.44336,29660.25391,29124.10547,29283.26367,14013695304
2023/8/15,BTC-USD,29170.34766,29439.12109,29088.85352,29408.04883,12640195779
2023/8/16,BTC-USD,28701.7793,29221.97656,28701.7793,29169.07422,14949271904
2023/8/17,BTC-USD,26664.55078,28745.94727,25409.11133,28699.80273,31120851211
2023/8/18,BTC-USD,26049.55664,26808.19531,25668.92188,26636.07813,24026236529
2023/8/19,BTC-USD,26096.20508,26249.44922,25802.4082,26047.83203,10631443812
2023/8/20,BTC-USD,26189.58398,26260.68164,26004.31445,26096.86133,9036580420
2023/8/21,BTC-USD,26124.14063,26220.20117,25846.08789,26188.69141,13371557893
2023/8/22,BTC-USD,26031.65625,26135.50781,25520.72852,26130.74805,14503820706
2023/8/23,BTC-USD,26431.64063,26786.89844,25804.99805,26040.47461,16985265785
2023/8/24,BTC-USD,26162.37305,26554.91016,25914.92578,26431.51953,12871532023
2023/8/25,BTC-USD,26047.66797,26248.10352,25786.8125,26163.67969,12406045118
2023/8/26,BTC-USD,26008.46289,26107.38477,25983.87891,26047.23438,6034817316
2023/8/27,BTC-USD,26089.69336,26165.37305,25965.09766,26008.24219,6913768611
2023/8/28,BTC-USD,26106.15039,26198.57813,25880.59961,26089.61523,11002805166
2023/8/29,BTC-USD,27727.39258,28089.33789,25912.62891,26102.48633,29368391712
2023/8/30,BTC-USD,27297.26563,27760.16016,27069.20703,27726.08398,16343655235
2023/8/31,BTC-USD,25931.47266,27456.07813,25752.92969,27301.92969,20181001451
2023/9/1,BTC-USD,25800.72461,26125.86914,25362.60938,25934.02148,17202862221
2023/9/2,BTC-USD,25868.79883,25970.28516,25753.09375,25800.91016,10100387473
2023/9/3,BTC-USD,25969.56641,26087.14844,25817.03125,25869.47266,8962524523
2023/9/4,BTC-USD,25812.41602,26081.52539,25657.02539,25968.16992,10680635106
2023/9/5,BTC-USD,25779.98242,25858.375,25589.98828,25814.95703,11094740040
2023/9/6,BTC-USD,25753.23633,25953.01563,25404.35938,25783.93164,12752705327
2023/9/7,BTC-USD,26240.19531,26409.30273,25608.20117,25748.3125,11088307100
2023/9/8,BTC-USD,25905.6543,26414.00586,25677.48047,26245.20898,10817356400
2023/9/9,BTC-USD,25895.67773,25921.97656,25810.49414,25905.42578,5481314132
2023/9/10,BTC-USD,25832.22656,25978.13086,25640.26172,25895.21094,7899553047
2023/9/11,BTC-USD,25162.6543,25883.94727,24930.29688,25831.71484,14600006467
2023/9/12,BTC-USD,25833.34375,26451.93945,25133.07813,25160.6582,18657279324
2023/9/13,BTC-USD,26228.32422,26376.11328,25781.12305,25837.55469,13072077070
2023/9/14,BTC-USD,26539.67383,26774.62305,26171.45117,26228.27734,13811359124
